miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-500a-3p	Urine	2	KJENS,LLAUR	1.7519	0.7696	0.7222	0.0001	1.7220	0.8171			1.7817	0.7222
hsa-miR-1226-3p	Urine	2	KJENS,LLAUR	2.2556	0.7678	0.7288	0.0000	1.2129	0.7288			3.2984	0.8068
hsa-miR-450a-5p	Urine	2	KJENS,LLAUR	2.1180	0.7667	0.7403	0.0000	1.8656	0.7932			2.3704	0.7403
hsa-miR-95-3p	Urine	2	KJENS,LLAUR	2.2523	0.7664	0.6974	0.0030	3.0010	0.8354			1.5035	0.6974
hsa-miR-499a-5p	Urine	2	KJENS,LLAUR	2.1593	0.7623	0.7139	0.0000	1.8949	0.8108			2.4237	0.7139
hsa-miR-6866-5p	Urine	2	KJENS,LLAUR	2.2191	0.7623	0.7223	0.0000	1.1716	0.7223			3.2666	0.8023
hsa-miR-99b-3p	Urine	2	KJENS,LLAUR	1.4328	0.7455	0.6814	0.0000	0.8545	0.6814			2.0111	0.8097
hsa-miR-502-3p	Urine	2	KJENS,LLAUR	1.6187	0.7449	0.7160	0.0000	1.2716	0.7738			1.9658	0.7160
hsa-miR-329-3p	Urine	2	KJENS,LLAUR	2.0933	0.7446	0.6855	0.0000	1.0261	0.6855			3.1606	0.8036
hsa-miR-4738-3p	Urine	2	KJENS,LLAUR	2.1075	0.7434	0.6621	0.0000	0.7845	0.6621			3.4304	0.8247
hsa-miR-937-3p	Urine	2	KJENS,LLAUR	1.9102	0.7393	0.7214	0.0000	1.3560	0.7572			2.4644	0.7214
hsa-miR-3909	Urine	2	KJENS,LLAUR	2.0589	0.7356	0.6995	0.0000	1.1412	0.6995			2.9765	0.7717
hsa-miR-378e	Urine	2	KJENS,LLAUR	1.8448	0.7354	0.6740	0.0003	1.9507	0.7968			1.7389	0.6740
hsa-miR-6843-3p	Urine	2	KJENS,LLAUR	1.9248	0.7300	0.7079	0.0000	1.0388	0.7079			2.8108	0.7521
hsa-miR-125a-3p	Urine	2	KJENS,LLAUR	1.5670	0.7265	0.6957	0.0017	1.4454	0.7574			1.6886	0.6957
hsa-miR-1304-3p	Urine	2	KJENS,LLAUR	2.0652	0.7212	0.6409	0.0008	0.8571	0.6409			3.2734	0.8016
hsa-miR-7976	Urine	2	KJENS,LLAUR	1.9172	0.7209	0.6240	0.0001	0.6035	0.6240			3.2309	0.8179
hsa-miR-6747-3p	Urine	2	KJENS,LLAUR	1.4836	0.7182	0.6655	0.0027	1.3708	0.7709			1.5964	0.6655
hsa-miR-598-3p	Urine	2	KJENS,LLAUR	1.7848	0.7161	0.6899	0.0000	1.0225	0.6899			2.5471	0.7424
hsa-miR-532-5p	Urine	2	KJENS,LLAUR	0.8414	0.7137	0.6973	0.0006	0.8686	0.6973			0.8143	0.7300
hsa-miR-92b-5p	Urine	2	KJENS,LLAUR	1.5252	0.7132	0.6444	0.0083	1.6390	0.7819			1.4114	0.6444
hsa-miR-873-5p	Urine	2	KJENS,LLAUR	1.7945	0.7107	0.7083	0.0000	1.2067	0.7083			2.3823	0.7130
